Order_ID,Customer_ID,Customer_Age,Customer_Gender,City,Area,Restaurant_ID,Restaurant_Name,Cuisine_Type,Order_Date,Order_Time,Delivery_Time_Min,Distance_km,Order_Value,Discount_Applied,Final_Amount,Payment_Mode,Order_Status,Cancellation_Reason,Delivery_Partner_ID,Delivery_Rating,Restaurant_Rating,Order_Day,Peak_Hour,Profit_Margin,Profit_Margin_Percentage,Delivery_Performance,Customer_Age_Group
ORD000077,CUST9601,38.97651632035586,Female,Hyderabad,East,RES322,Restaurant_269,Chinese,2/27/2024,0:00,230.0,1.28,4754.0,50.0,4704.0,Card,Delivered,Not Cancelled,DP152,3.0,4.8,Weekday,False,0.5,50.0,Very Slow,36-45
ORD000078,CUST1584,38.97651632035586,Female,Chennai,North,RES198,Restaurant_447,Italian,11/11/2024,0:00,120.0,29.91,1197.0,50.0,1147.0,Cod,Delivered,Not Cancelled,DP116,5.0,4.8,Weekday,False,0.0,0.0,Slow,36-45
ORD000079,CUST1022,38.97651632035586,Other,Hyderabad,South,RES807,Restaurant_415,Indian,6/15/2024,0:00,47.0,6.22,2720.0,0.0,2720.0,Cod,Delivered,Not Cancelled,DP137,3.0,4.8,Weekend,True,0.5,50.0,Moderate,36-45
ORD000080,CUST3137,38.97651632035586,Female,Mumbai,South,RES423,Restaurant_475,Arabian,10/7/2024,0:00,144.0,30.19,1197.0,50.0,1147.0,Card,Delivered,Not Cancelled,DP599,1.0,3.5,Weekday,False,0.45,45.0,Very Slow,36-45
ORD000081,CUST7873,38.97651632035586,Male,Chennai,East,RES460,Restaurant_487,Italian,8/24/2024,0:00,64.0,9.97,4513.0,0.0,4513.0,Card,Delivered,Not Cancelled,DP650,2.0,4.5,Weekend,False,0.15,15.0,Slow,36-45
ORD000082,CUST4124,43.0,Other,Delhi,Central,RES986,Restaurant_293,Indian,6/19/2024,0:00,,27.64,3628.0,0.0,3628.0,Card,Cancelled,Not Cancelled,DP734,,5.0,Weekday,True,0.08,8.0,Very Slow,36-45
ORD000083,CUST5182,38.97651632035586,Other,Chennai,East,RES528,Restaurant_5,Chinese,7/24/2024,0:00,62.0,19.73,4901.0,100.0,4801.0,Cod,Delivered,Not Cancelled,DP776,1.0,5.0,Weekday,False,0.03,3.0,Slow,36-45
ORD000084,CUST7717,38.97651632035586,Other,Delhi,North,RES377,Restaurant_420,Indian,4/10/2024,0:00,195.0,8.39,1197.0,50.0,1147.0,Upi,Delivered,Not Cancelled,DP228,5.0,5.0,Weekday,False,0.34,34.0,Very Slow,36-45
ORD000085,CUST1004,47.0,Female,Chennai,Central,RES149,Restaurant_412,Arabian,10/16/2024,0:00,143.0,27.02,3250.0,100.0,3150.0,Cod,Delivered,Not Cancelled,DP699,2.0,5.0,Weekday,False,0.32,32.0,Very Slow,46-60
ORD000086,CUST4109,55.0,Female,Bangalore,East,RES459,Restaurant_494,Chinese,8/20/2024,0:00,120.0,4.55,4517.0,300.0,4217.0,Upi,Delivered,Not Cancelled,DP779,3.0,5.0,Weekday,False,0.45,45.0,Slow,46-60
ORD000087,CUST6093,29.0,Other,Delhi,North,RES939,Restaurant_40,Indian,11/15/2024,0:00,179.0,35.41,958.0,300.0,658.0,Wallet,Delivered,Not Cancelled,DP706,2.0,4.1,Weekday,False,0.45,45.0,Very Slow,26-35
ORD000088,CUST4959,35.0,Other,Mumbai,Central,RES173,Restaurant_138,Chinese,9/30/2024,0:00,274.0,39.99,1197.0,0.0,1197.0,Card,Delivered,Not Cancelled,DP871,1.0,4.6,Weekday,False,0.13,13.0,Very Slow,26-35
ORD000089,CUST6467,38.97651632035586,Other,Hyderabad,North,RES132,Restaurant_466,Italian,4/19/2024,0:00,120.0,9.97,333.0,20.0,313.0,Card,Delivered,Not Cancelled,DP454,3.0,4.1,Weekday,False,0.0,0.0,Slow,36-45
ORD000090,CUST8379,39.0,Male,Chennai,North,RES961,Restaurant_215,Indian,1/2/2024,0:00,34.0,9.97,840.0,100.0,740.0,Wallet,Delivered,Not Cancelled,DP788,2.0,5.0,Weekday,False,0.14,14.000000000000002,Moderate,36-45
ORD000091,CUST4960,38.97651632035586,Female,Mumbai,East,RES758,Restaurant_463,Chinese,9/30/2024,0:00,,9.97,2765.0,20.0,2745.0,Card,Cancelled,Restaurant Issue,DP775,,5.0,Weekday,False,0.38,38.0,Very Slow,36-45
ORD000092,CUST8431,31.0,Other,Mumbai,West,RES740,Restaurant_470,Italian,6/16/2024,0:00,293.0,1.32,4233.0,20.0,4213.0,Wallet,Delivered,Not Cancelled,DP754,4.0,3.7,Weekend,False,0.08,8.0,Very Slow,26-35
ORD000093,CUST4977,20.0,Other,Chennai,West,RES918,Restaurant_443,Mexican,8/29/2024,0:00,120.0,9.33,1197.0,300.0,897.0,Card,Delivered,Not Cancelled,DP913,2.0,3.7,Weekday,False,0.2,20.0,Slow,18-25
ORD000094,CUST2608,38.97651632035586,Male,Hyderabad,Central,RES925,Restaurant_85,Mexican,9/28/2024,0:00,120.0,9.98,591.0,100.0,491.0,Wallet,Delivered,Not Cancelled,DP641,2.0,3.2,Weekend,False,0.05,5.0,Slow,36-45
ORD000095,CUST9324,38.97651632035586,Male,Hyderabad,South,RES508,Restaurant_85,Indian,1/27/2024,0:00,,9.97,1197.0,50.0,1147.0,Card,Cancelled,Not Cancelled,DP474,,4.2,Weekend,True,0.07,7.000000000000001,Very Slow,36-45
ORD000096,CUST4982,22.0,Male,Hyderabad,East,RES767,Restaurant_186,Indian,5/13/2024,0:00,120.0,2.28,1197.0,50.0,1147.0,Card,Delivered,Not Cancelled,DP469,1.0,3.6,Weekday,False,0.0,0.0,Slow,18-25
ORD000097,CUST4159,38.97651632035586,Other,Hyderabad,South,RES704,Restaurant_288,Chinese,8/6/2024,0:00,,9.97,624.0,300.0,324.0,Cod,Cancelled,Restaurant Issue,DP930,,5.0,Weekday,True,0.22,22.0,Very Slow,36-45
ORD000098,CUST5254,38.97651632035586,Other,Bangalore,North,RES515,Restaurant_356,Italian,12/26/2024,0:00,31.0,1.05,1197.0,0.0,1197.0,Cod,Delivered,Not Cancelled,DP238,1.0,4.6,Weekday,False,0.11,11.0,Moderate,36-45
ORD000099,CUST9662,38.97651632035586,Other,Hyderabad,North,RES354,Restaurant_448,Indian,5/30/2024,0:00,120.0,2.55,2270.0,20.0,2250.0,Upi,Delivered,Not Cancelled,DP321,4.0,4.1,Weekday,False,0.29,28.999999999999996,Slow,36-45
ORD000100,CUST5173,38.97651632035586,Female,Bangalore,Central,RES543,Restaurant_362,Indian,10/28/2024,0:00,41.0,9.97,4584.0,20.0,4564.0,Cod,Delivered,Not Cancelled,DP909,5.0,3.6,Weekday,True,0.0,0.0,Moderate,36-45
ORD000101,CUST7649,38.97651632035586,Male,Hyderabad,West,RES698,Restaurant_395,Chinese,9/1/2024,0:00,211.0,7.31,1002.0,20.0,982.0,Wallet,Delivered,Not Cancelled,DP702,3.0,4.4,Weekend,False,0.13,13.0,Very Slow,36-45
ORD000102,CUST9763,42.0,Other,Hyderabad,South,RES649,Restaurant_465,Italian,5/4/2024,0:00,41.0,29.22,1197.0,0.0,1197.0,Cod,Delivered,Not Cancelled,DP370,3.0,3.2,Weekend,False,0.32,32.0,Moderate,36-45
ORD000103,CUST3099,38.97651632035586,Other,Chennai,South,RES693,Restaurant_240,Chinese,6/30/2024,0:00,149.0,28.16,1197.0,300.0,897.0,Cod,Delivered,Not Cancelled,DP953,1.0,3.1,Weekend,False,0.41,41.0,Very Slow,36-45
